
【院务公开】理学院激光投影仪等设备采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5766.htm,2018-06-15
【院务公开】理学院教师岗位首聘期任务与完成情况公示,http://lxy.hzau.edu.cn/../info/1042/5765.htm,2018-06-15
理学院关于2018年“七一”表彰的通知,http://lxy.hzau.edu.cn/../info/1042/5739.htm,2018-06-13
【院务公开】理学院风管机空调设备采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5726.htm,2018-06-06
【院务公开】理学院六角实验台等家具采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5725.htm,2018-06-06
【党务公开】理学院推荐华中农业大学第五届师德先进个人候选人公示,http://lxy.hzau.edu.cn/../info/1042/5716.htm,2018-06-04
【院务公开】数学一级硕士学位点导师申报情况公示,http://lxy.hzau.edu.cn/../info/1042/5707.htm,2018-06-01
【院务公开】理学院拟接收2017级转专业学生名单公示,http://lxy.hzau.edu.cn/../info/1042/5700.htm,2018-05-23
【院务公开】2018年理学院本科生转专业复试方案,http://lxy.hzau.edu.cn/../info/1042/5696.htm,2018-05-21
【院务公开】2018年理学院推荐申报“狮山硕彦计划” 候选人名单公示,http://lxy.hzau.edu.cn/../info/1042/5672.htm,2018-05-11
【院务公开】理学院电脑桌、小方凳采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5675.htm,2018-05-11
【院务公开】理学院“狮山硕彦计划”青年英才B类人才遴选工作方案 ,http://lxy.hzau.edu.cn/../info/1042/5665.htm,2018-05-10
【院务公开】理学院B-115中央台、通风设施、试剂架等采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5679.htm,2018-05-10
【院务公开】理学院多媒体系统采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5678.htm,2018-05-10
【院务公开】理学院实验台等家具采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5677.htm,2018-05-03
【院务公开】理学院2017级本科生转专业申请公示,http://lxy.hzau.edu.cn/../info/1042/5649.htm,2018-05-02
关于举办基于“雨课堂”的智慧方案教学分享”工作坊的通知,http://lxy.hzau.edu.cn/../info/1042/5637.htm,2018-04-23
【院务公开】“研究生学术创新奖”评选结果公示,http://lxy.hzau.edu.cn/../info/1042/5629.htm,2018-04-19
【院务公开】读数显微镜等设备结果公告,http://lxy.hzau.edu.cn/../info/1042/5676.htm,2018-04-18
【院务公开】理学院“研究生学术创新奖”评选实施细则,http://lxy.hzau.edu.cn/../info/1042/5575.htm,2018-04-04
【院务公开】2018年硕士招生应用统计拟录取名单成绩公示,http://lxy.hzau.edu.cn/../info/1042/5572.htm,2018-04-04
【院务公开】2018年硕士招生化学点拟录取名单成绩公示,http://lxy.hzau.edu.cn/../info/1042/5571.htm,2018-04-04
【院务公开】2018年硕士招生应用统计调剂生复试名单,http://lxy.hzau.edu.cn/../info/1042/5553.htm,2018-04-02
2018年硕士招生化学点调剂生复试成绩,http://lxy.hzau.edu.cn/../info/1042/5552.htm,2018-03-31
2018年应用统计研究生拟录取成绩公示,http://lxy.hzau.edu.cn/../info/1042/5549.htm,2018-03-30
【院务公开】2018年化学系研究生一志愿拟录取成绩公示,http://lxy.hzau.edu.cn/../info/1042/5548.htm,2018-03-30
【院务公开】2018年化学系研究生一志愿复试成绩公示,http://lxy.hzau.edu.cn/../info/1042/5546.htm,2018-03-30
【院务公开】2018年硕士招生调剂生复试名单,http://lxy.hzau.edu.cn/../info/1042/5503.htm,2018-03-26
【院务公开】理学院“狮山硕彦计划”青年英才B类人才遴选工作方案 ,http://lxy.hzau.edu.cn/../info/1042/5665.htm,2018-05-10
【院务公开】理学院B-115中央台、通风设施、试剂架等采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5679.htm,2018-05-10
【院务公开】理学院多媒体系统采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5678.htm,2018-05-10
【院务公开】理学院实验台等家具采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5677.htm,2018-05-03
【院务公开】理学院2017级本科生转专业申请公示,http://lxy.hzau.edu.cn/../info/1042/5649.htm,2018-05-02
关于举办基于“雨课堂”的智慧方案教学分享”工作坊的通知,http://lxy.hzau.edu.cn/../info/1042/5637.htm,2018-04-23
【院务公开】“研究生学术创新奖”评选结果公示,http://lxy.hzau.edu.cn/../info/1042/5629.htm,2018-04-19
【院务公开】读数显微镜等设备结果公告,http://lxy.hzau.edu.cn/../info/1042/5676.htm,2018-04-18
【院务公开】理学院“研究生学术创新奖”评选实施细则,http://lxy.hzau.edu.cn/../info/1042/5575.htm,2018-04-04
【院务公开】2018年硕士招生应用统计拟录取名单成绩公示,http://lxy.hzau.edu.cn/../info/1042/5572.htm,2018-04-04
【院务公开】2018年硕士招生化学点拟录取名单成绩公示,http://lxy.hzau.edu.cn/../info/1042/5571.htm,2018-04-04
【院务公开】2018年硕士招生应用统计调剂生复试名单,http://lxy.hzau.edu.cn/../info/1042/5553.htm,2018-04-02
2018年硕士招生化学点调剂生复试成绩,http://lxy.hzau.edu.cn/../info/1042/5552.htm,2018-03-31
2018年应用统计研究生拟录取成绩公示,http://lxy.hzau.edu.cn/../info/1042/5549.htm,2018-03-30
【院务公开】2018年化学系研究生一志愿拟录取成绩公示,http://lxy.hzau.edu.cn/../info/1042/5548.htm,2018-03-30
【院务公开】2018年化学系研究生一志愿复试成绩公示,http://lxy.hzau.edu.cn/../info/1042/5546.htm,2018-03-30
【院务公开】2018年硕士招生调剂生复试名单,http://lxy.hzau.edu.cn/../info/1042/5503.htm,2018-03-26
2018年硕士研究生复试录取工作方案,http://lxy.hzau.edu.cn//__local/8/16/34/2BB3F9B9B09F17EB539E0EE3F76_4520A95E_C800.doc?e=..doc,2018-03-23
【院务公开】化学试剂、玻璃仪器等实验耗材采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5674.htm,2018-01-22
【院务公开】2017年年终考核优秀公示,http://lxy.hzau.edu.cn/../info/1042/5408.htm,2018-01-16
全院大会通知,http://lxy.hzau.edu.cn/../info/1042/5407.htm,2018-01-11
理学院关于发放接触有毒有害物质工作人员保健津贴的公示,http://lxy.hzau.edu.cn/../info/1042/5406.htm,2018-01-10
教职工大会通知,http://lxy.hzau.edu.cn/../info/1042/5405.htm,2018-01-03
理学院关于推荐申报工勤技能二级（技师）岗位的公示,http://lxy.hzau.edu.cn//__local/1/02/CC/23B9FE8DA6C30BE66A534CE68CA_860BC9FA_5D6B.docx?e=..docx,2017-12-08
2017年理学院研究生国家奖学金评选结果公示,http://lxy.hzau.edu.cn/../info/1042/5335.htm,2017-10-10
关于对校属各单位网络安全进行年审的通知,http://lxy.hzau.edu.cn/http://211.69.143.162/RunInfo/InfoDisplay.jsp?nID=0-3708&itemID=34,2017-09-27
2017年研究生国家奖学金评审实施细则,http://lxy.hzau.edu.cn//__local/1/C7/6E/33714E39D16057B281D6E851229_93CE2133_CA00.doc?e=..doc,2017-09-27
2018年推免资格申请考核成绩公示,http://lxy.hzau.edu.cn//__local/E/B6/8D/AAB58E63E3B961DBCB856CFCA06_1F019D4D_3589.xlsx?e=..xlsx,2017-09-19
2018年推免资格申请名单公示,http://lxy.hzau.edu.cn//__local/A/1F/A9/8E476D85F8D6C8FD87D175BEA8B_D049EE44_4DC1.xlsx?e=.xlsx,2017-09-15
逸夫楼通风系统改造工程商谈结果公告,http://lxy.hzau.edu.cn/../info/1042/5258.htm,2017-09-13
理学院2018年推免工作方案,http://lxy.hzau.edu.cn/../info/1042/5256.htm,2017-09-08
理学院激光打标机虚拟仿真系统采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5254.htm,2017-09-08
学院2017年教学与科研相关奖励公示,http://lxy.hzau.edu.cn//__local/E/E0/6F/5149D820047088C4C30DD0BBEA6_D5F92C71_4A00.doc?e=.doc,2017-09-08
理学院中央台、试剂架等家具采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5244.htm,2017-09-06
2017年暑期事业发展务虚研讨会通知,http://lxy.hzau.edu.cn/../info/1042/4330.htm,2017-07-11
【院务公开】化学试剂、玻璃仪器等实验耗材采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5674.htm,2018-01-22
【院务公开】2017年年终考核优秀公示,http://lxy.hzau.edu.cn/../info/1042/5408.htm,2018-01-16
全院大会通知,http://lxy.hzau.edu.cn/../info/1042/5407.htm,2018-01-11
理学院关于发放接触有毒有害物质工作人员保健津贴的公示,http://lxy.hzau.edu.cn/../info/1042/5406.htm,2018-01-10
教职工大会通知,http://lxy.hzau.edu.cn/../info/1042/5405.htm,2018-01-03
理学院关于推荐申报工勤技能二级（技师）岗位的公示,http://lxy.hzau.edu.cn//__local/1/02/CC/23B9FE8DA6C30BE66A534CE68CA_860BC9FA_5D6B.docx?e=..docx,2017-12-08
2017年理学院研究生国家奖学金评选结果公示,http://lxy.hzau.edu.cn/../info/1042/5335.htm,2017-10-10
关于对校属各单位网络安全进行年审的通知,http://lxy.hzau.edu.cn/http://211.69.143.162/RunInfo/InfoDisplay.jsp?nID=0-3708&itemID=34,2017-09-27
2017年研究生国家奖学金评审实施细则,http://lxy.hzau.edu.cn//__local/1/C7/6E/33714E39D16057B281D6E851229_93CE2133_CA00.doc?e=..doc,2017-09-27
2018年推免资格申请考核成绩公示,http://lxy.hzau.edu.cn//__local/E/B6/8D/AAB58E63E3B961DBCB856CFCA06_1F019D4D_3589.xlsx?e=..xlsx,2017-09-19
2018年推免资格申请名单公示,http://lxy.hzau.edu.cn//__local/A/1F/A9/8E476D85F8D6C8FD87D175BEA8B_D049EE44_4DC1.xlsx?e=.xlsx,2017-09-15
逸夫楼通风系统改造工程商谈结果公告,http://lxy.hzau.edu.cn/../info/1042/5258.htm,2017-09-13
理学院2018年推免工作方案,http://lxy.hzau.edu.cn/../info/1042/5256.htm,2017-09-08
理学院激光打标机虚拟仿真系统采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5254.htm,2017-09-08
学院2017年教学与科研相关奖励公示,http://lxy.hzau.edu.cn//__local/E/E0/6F/5149D820047088C4C30DD0BBEA6_D5F92C71_4A00.doc?e=.doc,2017-09-08
理学院中央台、试剂架等家具采购结果公告,http://lxy.hzau.edu.cn/../info/1042/5244.htm,2017-09-06
2017年暑期事业发展务虚研讨会通知,http://lxy.hzau.edu.cn/../info/1042/4330.htm,2017-07-11
化学试剂、玻璃仪器采购项目结果公告,http://lxy.hzau.edu.cn/../info/1042/4325.htm,2017-07-10
理学院公共实验室改造设计结果公示,http://lxy.hzau.edu.cn/../info/1042/4322.htm,2017-06-23
开放式虚拟仿真实验教学管理平台及虚拟仿真实验项目采购结果公示,http://lxy.hzau.edu.cn/../info/1042/4319.htm,2017-06-20
细胞净化实验室装修工程采购结果公告,http://lxy.hzau.edu.cn/../info/1042/4316.htm,2017-06-19
水平电泳仪等设备采购商务谈判结果公告,http://lxy.hzau.edu.cn/../info/1042/4312.htm,2017-06-14
关于开展校内网络安全专项检查的通知,http://lxy.hzau.edu.cn/#,2017-06-13
空气比热容比测定互联网远程控制系统及声控测定实验虚拟仿真系统采购结果公示,http://lxy.hzau.edu.cn/../info/1042/4295.htm,2017-06-08
理学院教师岗位首聘期任务与完成情况公示,http://lxy.hzau.edu.cn/../info/1042/4285.htm,2017-06-01
理学院2017年教学研究项目立项结果公示,http://lxy.hzau.edu.cn/../info/1042/4271.htm,2017-05-08
全院教职工大会通知,http://lxy.hzau.edu.cn/../info/1042/4266.htm,2017-04-20
关于赴香港理工大学参加暑期创新创业访学实践项目的通知,http://lxy.hzau.edu.cn/../info/1042/4254.htm,2017-03-31
理学院2017年硕士招生拟录取名单及录取成绩公示,http://lxy.hzau.edu.cn//__local/5/18/AD/CF003C1A0AFCD3AAD88BE047341_5079BB47_3679.xlsx?e=.xlsx,2017-03-29
理学院硕士复试调剂生第二批成绩单,http://lxy.hzau.edu.cn//__local/0/64/E7/BBF1D7989B0DA20B9C0CA4ADBA3_D8CECED8_372F.docx?e=.docx,2017-03-29
理学院2017年硕士研究生调剂生第二批复试通知,http://lxy.hzau.edu.cn//__local/A/58/C4/5351C41287304FA9035BB144811_D89CD6F7_AA00.doc?e=.doc,2017-03-28
理学院硕士招生复试成绩公示（调剂申请考生）,http://lxy.hzau.edu.cn//__local/F/24/FC/F3974A5F3E64AF03FDEE2CB1DFD_A6654619_43CB.docx?e=.docx,2017-03-24
关于在新校门口设置停车场和减少狮子山大道减速板建议的回复,http://lxy.hzau.edu.cn/../info/1042/4194.htm,2017-03-24
